id;Fecha;Fallecidos
346;22/08/1995;0
1055;22/08/1995;0
1080;22/08/1995;0
350;21/08/1995;0
428;21/08/1995;0
710;21/08/1995;0
711;21/08/1995;0
712;21/08/1995;0
713;21/08/1995;0
1039;21/08/1995;0
257;20/08/1995;0
258;20/08/1995;0
343;20/08/1995;0
431;20/08/1995;0
707;20/08/1995;0
708;20/08/1995;0
933;20/08/1995;0
996;20/08/1995;0
1042;20/08/1995;0
1053;20/08/1995;0
349;19/08/1995;0
429;19/08/1995;0
351;16/08/1995;0
1013;14/08/1995;0
260;11/08/1995;0
516;11/08/1995;0
261;4/08/1995;0
430;4/08/1995;0
599;4/08/1995;0
1016;4/08/1995;0
1034;3/08/1995;0
1056;1/08/1995;0
1057;1/08/1995;0
477;31/07/1995;0
256;29/07/1995;0
531;26/07/1995;0
1054;14/06/1995;0
476;7/06/1995;0
537;7/06/1995;0
593;7/06/1995;0
594;7/06/1995;0
541;6/06/1995;0
714;6/06/1995;0
716;6/06/1995;0
1014;15/05/1995;1
1017;15/05/1995;1
1018;15/05/1995;1
715;14/05/1995;0
1015;14/05/1995;1
348;29/04/1995;0
433;23/04/1995;0
432;21/04/1995;0
224;22/03/1995;0
347;21/03/1995;0
717;14/03/1995;0
696;20/12/1994;0
705;25/11/1994;0
905;25/11/1994;0
1078;25/11/1994;0
1079;25/11/1994;0
1096;25/11/1994;0
251;24/11/1994;0
252;24/11/1994;0
700;24/11/1994;0
1050;24/11/1994;0
1052;24/11/1994;0
1095;24/11/1994;0
1097;24/11/1994;0
212;23/11/1994;0
337;23/11/1994;0
706;9/11/1994;0
529;8/11/1994;0
981;8/11/1994;0
702;7/11/1994;0
704;5/11/1994;0
697;3/11/1994;5
699;3/11/1994;7
701;3/11/1994;0
703;3/11/1994;0
962;2/11/1994;0
556;1/11/1994;0
213;31/10/1994;0
498;31/10/1994;0
338;26/10/1994;0
254;25/10/1994;0
336;24/10/1994;0
424;24/10/1994;0
465;24/10/1994;0
511;24/10/1994;0
512;24/10/1994;0
513;24/10/1994;0
514;24/10/1994;0
515;24/10/1994;0
530;23/10/1994;0
425;19/10/1994;0
963;12/10/1994;0
1037;12/10/1994;0
1038;12/10/1994;0
563;10/10/1994;0
379;26/09/1994;0
695;26/09/1994;0
1051;18/09/1994;0
253;11/09/1994;0
698;7/09/1994;3
211;11/07/1994;0
567;22/06/1994;0
581;29/05/1994;0
255;25/05/1994;0
980;23/05/1994;0
489;17/05/1994;0
583;12/05/1994;0
582;10/05/1994;0
284;1/05/1994;0
114;28/04/1994;1
339;24/04/1994;0
427;20/04/1994;0
426;12/04/1994;0
340;5/04/1994;0
342;2/03/1994;0
341;16/01/1994;0
329;14/12/1993;0
510;14/12/1993;0
419;13/12/1993;0
420;13/12/1993;0
931;24/11/1993;0
509;20/11/1993;0
99;10/11/1993;2
331;3/11/1993;0
332;19/10/1993;0
333;10/10/1993;1
327;1/10/1993;0
903;16/09/1993;0
422;15/09/1993;0
902;14/09/1993;0
1033;29/07/1993;0
694;15/07/1993;0
692;14/07/1993;0
693;3/07/1993;0
995;10/06/1993;0
334;1/06/1993;0
994;1/06/1993;0
144;9/05/1993;1
421;6/05/1993;0
330;29/04/1993;0
335;29/04/1993;0
328;27/04/1993;0
691;19/04/1993;0
250;20/03/1993;0
690;16/03/1993;0
423;24/02/1993;0
904;1/02/1993;0
528;24/01/1993;0
941;10/12/1992;0
322;19/11/1992;0
323;13/11/1992;0
325;8/11/1992;0
321;5/11/1992;0
418;6/10/1992;0
901;22/09/1992;0
900;21/09/1992;0
324;6/09/1992;0
100;9/07/1992;1
163;24/02/1992;1
326;15/02/1992;0
977;12/01/1992;0
976;15/11/1991;0
1094;18/10/1991;0
237;17/10/1991;0
1093;17/10/1991;0
464;24/09/1991;0
320;23/09/1991;0
890;19/09/1991;0
143;5/09/1991;1
1092;8/06/1991;0
417;23/05/1991;0
475;22/05/1991;0
527;2/02/1991;0
686;9/12/1990;0
930;5/11/1990;0
414;4/11/1990;0
688;2/11/1990;0
413;1/11/1990;0
687;29/10/1990;0
689;27/10/1990;1
415;25/10/1990;0
416;22/10/1990;0
241;19/10/1990;0
4;13/10/1990;4
155;13/10/1990;4
377;9/10/1990;0
684;8/10/1990;4
52;21/09/1990;20
685;21/09/1990;0
412;4/09/1990;0
1011;1/09/1990;0
319;24/08/1990;0
210;4/05/1990;0
899;1/05/1990;0
410;31/10/1989;0
508;31/10/1989;0
208;21/10/1989;0
209;21/10/1989;0
69;26/09/1989;4
21;13/09/1989;4
411;12/09/1989;0
462;12/09/1989;0
317;11/09/1989;0
207;10/09/1989;0
463;10/09/1989;0
683;4/09/1989;4
318;10/04/1989;0
555;26/02/1989;0
898;3/01/1989;0
678;18/12/1988;0
1041;24/11/1988;0
409;22/11/1988;0
894;22/11/1988;0
1005;22/11/1988;0
1075;22/11/1988;0
236;21/11/1988;0
681;18/11/1988;0
507;10/11/1988;0
682;10/11/1988;0
316;26/10/1988;0
1049;23/10/1988;0
407;18/10/1988;0
315;17/10/1988;0
408;17/10/1988;0
1076;17/10/1988;0
675;16/10/1988;1
104;15/10/1988;1
1048;14/10/1988;1
314;13/10/1988;0
34;18/09/1988;18
45;16/09/1988;1
569;15/09/1988;0
249;29/08/1988;0
474;29/08/1988;0
896;29/08/1988;0
313;20/08/1988;0
989;20/08/1988;0
1004;20/08/1988;0
680;15/08/1988;3
897;15/08/1988;0
676;14/08/1988;0
677;14/08/1988;0
674;4/08/1988;3
53;15/07/1988;5
965;10/07/1988;0
554;7/07/1988;0
1009;7/07/1988;0
1010;7/07/1988;0
473;5/07/1988;0
1008;5/07/1988;0
1091;5/07/1988;0
895;25/06/1988;0
1043;25/06/1988;0
1077;25/06/1988;0
61;15/06/1988;1
679;17/01/1988;0
311;27/12/1987;0
405;9/10/1987;0
406;8/10/1987;0
562;8/10/1987;0
310;29/09/1987;0
673;29/09/1987;0
176;27/09/1987;500
611;26/09/1987;0
561;31/07/1987;0
312;3/05/1987;0
580;5/04/1987;0
672;4/11/1986;0
670;29/10/1986;0
669;25/10/1986;0
1090;25/10/1986;0
404;22/10/1986;1
504;21/10/1986;1
668;21/10/1986;1
1089;21/10/1986;0
539;19/10/1986;0
248;16/10/1986;0
506;12/10/1986;0
505;11/10/1986;0
955;8/10/1986;0
671;31/08/1986;0
568;29/08/1986;0
536;11/06/1986;0
402;2/06/1986;0
403;2/06/1986;0
309;24/05/1986;0
50;26/04/1986;2
1074;23/04/1986;0
540;21/04/1986;0
472;1/04/1986;0
579;15/03/1986;0
117;12/03/1986;1
240;11/03/1986;1
247;8/03/1986;0
1073;27/11/1985;0
233;13/11/1985;0
667;11/11/1985;0
929;29/10/1985;0
26;26/10/1985;1
928;23/10/1985;0
471;8/10/1985;0
577;4/10/1985;0
666;30/09/1985;0
32;26/09/1985;1
59;26/09/1985;6
1072;26/09/1985;0
305;25/09/1985;0
308;25/09/1985;4
503;25/09/1985;0
302;24/09/1985;6
398;16/09/1985;0
664;5/09/1985;7
83;29/08/1985;2
1071;26/08/1985;0
400;23/08/1985;4
304;22/08/1985;2
303;21/08/1985;0
399;20/08/1985;0
397;8/08/1985;0
665;2/08/1985;2
578;4/06/1985;0
401;26/05/1985;0
1007;10/05/1985;0
307;10/03/1985;0
243;15/01/1985;0
547;10/12/1984;0
299;7/12/1984;0
940;27/11/1984;0
301;1/11/1984;0
663;30/10/1984;0
297;27/10/1984;0
392;26/10/1984;0
658;19/10/1984;0
551;15/10/1984;0
552;15/10/1984;0
992;22/09/1984;0
394;19/09/1984;0
393;17/09/1984;0
298;14/09/1984;0
300;20/08/1984;1
14;5/08/1984;2
75;5/08/1984;2
927;1/08/1984;0
660;31/07/1984;1
396;13/07/1984;0
501;13/07/1984;0
979;13/07/1984;0
659;5/07/1984;0
926;22/06/1984;0
662;17/06/1984;0
535;16/06/1984;0
993;22/05/1984;0
553;15/05/1984;0
576;15/05/1984;0
395;14/05/1984;0
549;9/05/1984;0
502;8/05/1984;0
9;23/04/1984;1
196;23/04/1984;1
296;30/01/1984;0
661;18/01/1984;0
925;21/12/1983;0
657;30/10/1983;0
49;24/10/1983;1
575;21/09/1983;0
656;19/09/1983;0
605;6/09/1983;0
988;6/09/1983;0
951;31/05/1983;0
924;18/05/1983;0
1070;29/04/1983;0
293;23/04/1983;0
295;19/04/1983;0
294;17/04/1983;0
470;17/04/1983;0
390;24/10/1982;0
51;6/07/1982;1
1088;6/07/1982;1
987;27/05/1982;0
655;24/05/1982;0
391;22/05/1982;0
893;8/05/1982;0
246;27/04/1982;0
461;8/04/1982;0
653;26/02/1982;0
1064;31/01/1982;0
1069;30/01/1982;0
654;7/01/1982;0
1087;22/12/1981;0
943;11/12/1981;0
1067;29/11/1981;0
500;28/11/1981;0
891;21/10/1981;0
986;13/10/1981;0
499;19/09/1981;0
388;2/07/1981;0
81;1/07/1981;2
