id;Fecha;Incertidum;Fallecidos;Economicas
491;22/01/1997;High;0;45
492;25/01/1997;Mid;0;0
493;31/01/1997;Mid;0;0
494;1/02/1997;Mid;0;17
495;13/02/1997;Mid;0;0
496;13/02/1997;Mid;0;0
497;11/03/1997;Mid;0;0
498;19/03/1997;High;0;0
499;5/04/1997;Mid;0;0
500;6/04/1997;Mid;0;0
501;14/04/1997;Mid;0;0
502;14/04/1997;Mid;0;0
503;21/04/1997;High;0;10
504;25/04/1997;Mid;0;0
505;28/04/1997;Mid;0;0
506;5/06/1997;Mid;0;0
507;5/06/1997;Mid;0;0
508;7/06/1997;High;0;0
509;10/06/1997;High;0;0
510;11/06/1997;Mid;0;0
511;18/06/1997;Mid;0;0
512;18/06/1997;Mid;0;0
513;2/07/1997;Mid;0;0
514;10/08/1997;Mid;0;0
515;19/08/1997;Mid;0;0
516;20/08/1997;High;0;0
517;1/09/1997;High;0;0
518;30/10/1997;High;0;0
519;19/11/1997;High;0;0
520;19/11/1997;High;0;0
521;5/02/1998;High;0;0
522;19/02/1998;Mid;0;0
523;26/03/1998;Mid;0;0
524;12/04/1998;Mid;0;0
525;12/04/1998;High;0;0
526;15/04/1998;High;0;0
527;24/04/1998;High;0;0
528;25/04/1998;Mid;0;0
529;27/04/1998;Mid;0;0
530;27/04/1998;Mid;0;0
531;2/05/1998;High;0;0
532;3/05/1998;Mid;0;0
533;4/05/1998;Mid;0;0
534;11/05/1998;Mid;0;0
535;11/05/1998;Mid;0;25
536;12/05/1998;Mid;0;2
537;12/05/1998;Mid;0;12
538;17/05/1998;Mid;0;0
539;19/05/1998;High;0;0
540;26/05/1998;High;0;0
541;26/05/1998;Mid;0;0
542;27/05/1998;High;0;0
543;30/05/1998;High;0;0
544;30/05/1998;High;0;0
545;30/05/1998;Mid;0;8
546;31/05/1998;Mid;0;0
547;1/06/1998;High;0;0
548;1/06/1998;High;0;0
549;4/06/1998;Mid;0;0
550;5/06/1998;High;0;0
551;29/06/1998;High;0;0
552;12/07/1998;Mid;0;0
553;30/07/1998;High;0;0
554;4/08/1998;Mid;0;0
555;2/09/1998;Mid;2;12
556;3/09/1998;Mid;0;0
557;3/09/1998;Mid;0;0
558;5/09/1998;Mid;0;0
559;9/09/1998;Mid;0;0
560;21/09/1998;Mid;0;0
561;22/09/1998;High;0;0
562;23/09/1998;Mid;0;0
563;24/09/1998;Mid;0;7
564;25/09/1998;Mid;0;0
565;28/09/1998;Mid;0;0
566;29/09/1998;Mid;0;0
567;29/09/1998;Mid;0;0
568;5/10/1998;Mid;0;0
569;5/10/1998;High;0;0
570;6/10/1998;Mid;0;0
571;7/10/1998;High;0;0
572;9/10/1998;Mid;0;15
573;15/10/1998;High;0;0
574;19/10/1998;Mid;0;0
575;22/10/1998;Mid;0;0
576;24/10/1998;Mid;0;0
577;25/10/1998;High;0;0
578;25/10/1998;Mid;0;0
579;27/10/1998;High;0;0
580;29/10/1998;Mid;0;0
581;8/11/1998;Mid;0;0
582;16/11/1998;Mid;0;0
583;17/11/1998;Mid;0;0
584;28/11/1998;Mid;1;0
585;28/11/1998;Mid;1;1
586;8/12/1998;High;0;0
587;16/12/1998;Mid;0;0
588;20/12/1998;Mid;0;0
589;20/12/1998;Mid;0;0
590;21/12/1998;High;0;0
591;22/12/1998;Mid;0;0
592;26/12/1998;Mid;0;0
593;27/12/1998;Mid;1;0
594;4/01/1999;High;0;0
595;6/01/1999;Mid;0;0
596;9/02/1999;High;0;0
597;21/02/1999;High;0;0
598;23/02/1999;High;0;0
599;24/02/1999;Mid;0;0
600;24/02/1999;Mid;0;0
601;24/02/1999;Mid;0;0
602;25/02/1999;High;0;0
603;28/02/1999;Mid;0;0
604;2/03/1999;Mid;0;0
605;2/03/1999;High;0;0
606;8/03/1999;High;0;0
607;14/03/1999;High;0;0
608;18/03/1999;High;0;0
609;18/03/1999;High;0;0
610;25/03/1999;Mid;0;0
611;25/03/1999;High;0;0
612;25/03/1999;High;0;0
613;30/03/1999;High;0;0
614;27/04/1999;Mid;0;0
615;2/05/1999;High;0;0
616;7/05/1999;Mid;0;0
617;9/05/1999;High;0;0
618;11/05/1999;Mid;0;0
619;12/05/1999;Mid;0;0
620;12/05/1999;Mid;0;0
621;13/05/1999;Mid;0;0
622;13/05/1999;High;0;0
623;21/05/1999;High;0;0
624;31/05/1999;High;0;0
625;7/06/1999;High;0;0
626;8/06/1999;Mid;0;0
627;8/06/1999;High;0;0
628;8/06/1999;High;0;0
629;8/06/1999;High;0;0
630;8/06/1999;Mid;0;0
631;8/06/1999;Mid;2;0
632;9/06/1999;Mid;0;0
633;9/06/1999;High;0;0
634;9/06/1999;High;0;0
635;9/06/1999;High;0;0
636;9/06/1999;Mid;0;0
637;10/06/1999;High;0;0
638;13/06/1999;Mid;0;0
639;14/06/1999;Mid;0;3
640;14/06/1999;Mid;0;5
641;17/06/1999;High;0;0
642;19/06/1999;Mid;0;0
643;19/06/1999;High;0;0
644;19/06/1999;High;0;0
645;27/06/1999;Mid;0;0
646;27/06/1999;Mid;0;0
647;28/06/1999;High;0;0
648;28/06/1999;High;0;0
649;30/06/1999;Mid;0;0
650;6/07/1999;Mid;0;0
651;8/07/1999;High;0;0
652;8/07/1999;High;0;0
653;8/07/1999;High;0;0
654;8/07/1999;Mid;0;0
655;11/07/1999;Mid;0;0
656;13/07/1999;High;0;6
657;14/07/1999;Mid;0;0
658;27/07/1999;High;0;0
659;28/07/1999;Mid;0;0
660;12/09/1999;Mid;0;0
661;14/09/1999;High;0;0
662;16/09/1999;High;0;0
663;22/09/1999;High;1;0
664;23/09/1999;Mid;1;0
665;25/09/1999;Mid;0;0
666;26/09/1999;High;0;10
667;3/10/1999;High;0;0
668;4/10/1999;Mid;0;0
669;5/10/1999;High;0;0
670;6/10/1999;Mid;0;0
671;7/10/1999;High;0;0
672;9/10/1999;Mid;0;27
673;13/10/1999;High;0;0
674;14/10/1999;Mid;0;0
675;14/10/1999;Mid;0;0
676;14/10/1999;Mid;0;0
677;15/10/1999;High;0;0
678;17/10/1999;Mid;0;0
679;19/10/1999;High;0;0
680;20/10/1999;Mid;0;1
681;24/10/1999;High;0;0
682;26/10/1999;High;0;0
683;26/10/1999;Mid;0;0
684;26/10/1999;Mid;0;0
685;27/10/1999;Mid;0;0
686;28/10/1999;Mid;0;0
687;31/10/1999;Mid;0;0
688;31/10/1999;High;0;0
689;3/11/1999;High;0;0
690;7/11/1999;High;0;0
691;10/11/1999;High;0;0
692;24/11/1999;High;0;0
693;11/12/1999;High;0;0
694;17/12/1999;Mid;0;0
695;20/12/1999;Mid;0;0
696;7/01/2000;Mid;0;0
697;10/01/2000;Mid;0;0
698;11/01/2000;High;0;0
699;16/01/2000;Mid;0;0
700;17/01/2000;Mid;0;0
701;30/01/2000;Mid;0;0
702;30/01/2000;Mid;0;1
703;31/01/2000;High;0;0
704;13/02/2000;High;0;0
705;17/02/2000;High;0;0
706;24/02/2000;High;0;0
707;27/02/2000;High;0;0
708;27/02/2000;Mid;0;0
709;28/02/2000;Mid;0;0
710;6/03/2000;High;0;0
711;21/03/2000;High;0;0
712;25/03/2000;High;0;0
713;27/03/2000;Mid;0;0
714;16/04/2000;Mid;0;0
715;16/04/2000;Mid;0;0
716;17/04/2000;Mid;0;0
717;1/05/2000;High;0;0
718;7/05/2000;Mid;0;0
719;8/05/2000;Mid;0;0
720;8/05/2000;Mid;0;0
721;8/05/2000;Mid;0;0
722;9/05/2000;Mid;0;0
723;9/05/2000;Mid;0;0
724;9/05/2000;High;0;0
725;13/05/2000;High;0;0
726;13/05/2000;Mid;7;0
727;14/05/2000;Mid;0;0
728;14/05/2000;Mid;7;0
729;15/05/2000;Mid;0;0
730;15/05/2000;High;0;0
731;17/05/2000;High;0;0
732;18/05/2000;Mid;0;0
733;18/05/2000;Mid;0;0
734;21/05/2000;Mid;0;0
735;24/05/2000;Mid;0;0
736;24/05/2000;Mid;0;0
737;25/05/2000;Mid;0;0
738;26/05/2000;High;0;0
739;28/05/2000;High;0;0
740;30/05/2000;Mid;0;0
741;30/05/2000;Mid;0;0
742;30/05/2000;High;0;0
743;31/05/2000;High;0;0
744;5/06/2000;High;0;0
745;7/06/2000;Mid;0;0
746;12/06/2000;Mid;0;0
747;15/06/2000;High;0;0
748;26/06/2000;High;0;0
749;27/06/2000;High;0;0
750;4/07/2000;High;2;0
751;12/07/2000;Mid;0;0
752;21/07/2000;Mid;0;0
753;24/07/2000;Mid;0;0
754;26/07/2000;Mid;0;0
755;30/07/2000;High;0;0
756;1/08/2000;High;0;0
757;2/08/2000;Mid;0;0
758;14/08/2000;Mid;0;0
759;27/08/2000;Mid;0;0
760;31/08/2000;Mid;0;0
761;2/09/2000;Mid;0;0
762;5/09/2000;High;0;0
763;6/09/2000;Mid;0;0
764;10/09/2000;Mid;0;0
765;10/09/2000;High;0;0
766;12/09/2000;High;0;0
767;18/09/2000;Mid;0;0
768;20/09/2000;High;0;0
769;21/09/2000;Mid;0;0
770;28/09/2000;High;0;0
771;3/10/2000;Mid;0;0
772;3/10/2000;Mid;0;0
773;1/11/2000;Mid;0;0
774;1/11/2000;Mid;0;0
775;3/11/2000;Mid;0;0
776;3/11/2000;Mid;0;0
777;6/11/2000;High;0;0
778;4/12/2000;Mid;0;0
779;5/12/2000;High;0;0
780;17/12/2000;High;0;0
781;25/12/2000;Mid;0;0
782;21/01/2001;Mid;0;0
783;14/07/2001;Mid;0;0
784;19/07/2001;Mid;0;3
785;14/10/2001;Mid;0;0
786;31/10/2001;Mid;0;0
787;20/11/2001;Mid;0;0
788;20/11/2001;Mid;0;0
789;20/11/2001;Mid;0;0
790;20/11/2001;Mid;0;0
791;20/11/2001;Mid;0;0
792;6/12/2001;Mid;0;0
793;21/12/2001;Mid;0;0
794;15/01/2002;High;0;0
795;21/05/2002;Mid;0;0
796;14/10/2002;Mid;0;0
797;24/10/2002;Mid;0;0
798;25/10/2002;High;0;0
799;28/10/2002;High;0;0
800;28/10/2002;Mid;0;0
801;13/11/2002;Mid;0;0
802;14/06/2003;High;2;0
803;12/03/2004;Mid;0;0
804;24/04/2004;Mid;2;0
805;24/04/2004;Mid;2;0
806;3/10/2004;High;1;0
807;9/10/2004;High;0;0
808;18/10/2004;High;0;0
809;23/10/2004;Mid;0;51
810;3/11/2004;High;0;0
811;6/11/2004;Mid;0;0
812;11/11/2004;Mid;0;100
813;22/03/2006;High;0;0
814;23/03/2006;High;3;0
815;13/10/2006;Mid;0;0
816;22/11/2006;High;0;0
817;18/05/2007;High;0;0
818;26/05/2007;High;0;0
819;26/05/2007;High;0;0
820;27/05/2007;High;7;0
821;26/10/2007;Mid;2;0
822;20/02/2008;High;0;0
823;23/03/2008;Mid;0;0
824;12/04/2008;High;0;0
825;13/04/2008;Mid;0;10
826;25/05/2008;Mid;0;0
827;26/05/2008;Mid;0;25
828;2/06/2008;High;0;60
829;6/06/2008;Mid;0;0
830;16/07/2008;Mid;4;0
831;12/10/2008;Mid;0;0
832;31/12/2008;High;1;0
833;24/01/2009;High;1;0
834;24/01/2009;High;0;3
835;24/01/2009;High;0;0
836;3/04/2009;High;2;80
837;2/06/2010;High;0;0
838;2/11/2010;High;0;60
839;7/11/2010;Mid;0;0
840;1/12/2010;High;0;0
841;18/05/2013;High;0;0
842;22/05/2013;High;0;500
843;13/07/2014;High;0;95
844;16/09/2014;High;0;0
845;21/09/2016;High;0;0
846;22/09/2016;High;0;0
847;9/12/2016;High;0;0
848;10/12/2016;High;0;0
849;31/03/2017;High;1;0
